timestamp,cluster_name,benchmark,interference,real_ms,user_ms,sys_ms
2023-03-28 17:23:16.356185,part2a.k8s.local,blackscholes,none,863,836,4
2023-03-28 17:23:28.173569,part2a.k8s.local,blackscholes,cpu,1106,1029,8
2023-03-28 17:51:08.061604,part2a.k8s.local,blackscholes,l1d,1038,1025,4
2023-03-28 17:51:52.791042,part2a.k8s.local,blackscholes,l1i,1329,1258,16
2023-03-28 17:52:36.247173,part2a.k8s.local,blackscholes,l2,1027,1004,16
2023-03-28 17:53:20.166058,part2a.k8s.local,blackscholes,llc,1273,1146,16
2023-03-28 18:00:34.379292,part2a.k8s.local,blackscholes,membw,1157,1088,0
2023-03-28 18:01:28.506395,part2a.k8s.local,canneal,none,10847,10224,396
2023-03-28 18:01:50.811576,part2a.k8s.local,canneal,cpu,11675,10999,263
2023-03-28 18:02:43.614717,part2a.k8s.local,canneal,l1d,12120,11778,320
2023-03-28 18:03:39.579577,part2a.k8s.local,canneal,l1i,13585,12805,310
2023-03-28 18:04:32.652016,part2a.k8s.local,canneal,l2,11859,11597,244
2023-03-28 18:05:32.813640,part2a.k8s.local,canneal,llc,18991,17478,734
2023-03-28 18:06:28.642574,part2a.k8s.local,canneal,membw,13036,12246,270
2023-03-28 17:10:50.042032,part2a.k8s.local,dedup,none,24990,28138,6170
2023-03-28 18:08:43.595444,part2a.k8s.local,dedup,cpu,43762,33606,8048
2023-03-28 18:10:03.249342,part2a.k8s.local,dedup,l1d,30700,33556,6555
2023-03-28 18:11:43.444611,part2a.k8s.local,dedup,l1i,52839,42881,7329
2023-03-28 18:13:06.489961,part2a.k8s.local,dedup,l2,30861,33666,6671
2023-03-28 18:14:48.742120,part2a.k8s.local,dedup,llc,54064,41686,9156
2023-03-28 18:16:17.366213,part2a.k8s.local,dedup,membw,41572,32994,6661
2023-03-28 18:17:11.447908,part2a.k8s.local,ferret,none,6544,11713,132
2023-03-28 18:17:44.209578,part2a.k8s.local,ferret,cpu,18180,15312,243
2023-03-28 18:18:33.691093,part2a.k8s.local,ferret,l1d,6818,11693,130
2023-03-28 18:19:30.731702,part2a.k8s.local,ferret,l1i,14790,13877,158
2023-03-28 18:20:19.714047,part2a.k8s.local,ferret,l2,6635,11614,139
2023-03-28 18:21:21.207745,part2a.k8s.local,ferret,llc,17061,15931,146
2023-03-28 18:22:17.618304,part2a.k8s.local,ferret,membw,13522,12541,218
2023-03-28 18:23:12.097423,part2a.k8s.local,freqmine,none,6496,6094,212
2023-03-28 18:23:35.654047,part2a.k8s.local,freqmine,cpu,12551,6305,161
2023-03-28 18:24:24.432490,part2a.k8s.local,freqmine,l1d,6322,6164,124
2023-03-28 18:25:20.602059,part2a.k8s.local,freqmine,l1i,12833,6520,111
2023-03-28 18:26:09.581033,part2a.k8s.local,freqmine,l2,6428,6262,115
2023-03-28 18:27:04.742554,part2a.k8s.local,freqmine,llc,11317,10526,261
2023-03-28 18:27:58.263778,part2a.k8s.local,freqmine,membw,9863,9320,167
2023-03-28 18:54:06.375090,part2a.k8s.local,radix,none,54797,51846,2835
2023-03-28 18:55:14.584064,part2a.k8s.local,radix,cpu,58001,52475,3375
2023-03-28 18:56:56.576143,part2a.k8s.local,radix,l1d,58998,55631,3329
2023-03-28 18:58:39.973992,part2a.k8s.local,radix,l1i,60412,55230,3593
2023-03-28 19:01:18.880668,part2a.k8s.local,radix,l2,62649,54973,7619
2023-03-28 19:03:24.013823,part2a.k8s.local,radix,llc,82751,74381,5122
2023-03-28 19:05:05.525857,part2a.k8s.local,radix,membw,59802,54493,3395
2023-03-28 19:08:17.138355,part2a.k8s.local,vips,none,105185,104973,3585
2023-03-28 19:11:41.267602,part2a.k8s.local,vips,cpu,187047,169341,3973
2023-03-28 19:22:27.274551,part2a.k8s.local,vips,l1d,162188,161433,3121
2023-03-28 19:37:41.731316,part2a.k8s.local,vips,l1i,202585,188835,5132
2023-03-28 19:41:16.741780,part2a.k8s.local,vips,l2,165924,163176,3461
2023-03-28 19:45:30.749251,part2a.k8s.local,vips,llc,205159,188099,7139
2023-03-28 19:49:11.606147,part2a.k8s.local,vips,membw,175631,164778,3214
