timestamp,cluster_name,benchmark,n_threads,real_ms,user_ms,sys_ms
2023-03-31 15:06:11.347473,part2b.k8s.local,blackscholes,1,125756,124882,852
2023-03-31 15:07:32.961416,part2b.k8s.local,blackscholes,2,73094,125191,920
2023-03-31 15:08:27.573944,part2b.k8s.local,blackscholes,4,46271,125020,740
2023-03-31 15:09:12.161363,part2b.k8s.local,blackscholes,8,36254,147158,823
2023-03-31 15:13:34.080376,part2b.k8s.local,canneal,1,255125,254340,736
2023-03-31 15:16:15.328800,part2b.k8s.local,canneal,2,155251,258916,1004
2023-03-31 15:18:09.491142,part2b.k8s.local,canneal,4,108135,261904,1373
2023-03-31 15:19:42.772992,part2b.k8s.local,canneal,8,86417,288652,1312
2023-03-31 15:20:40.574430,part2b.k8s.local,dedup,1,19792,24155,5507
2023-03-31 15:21:10.857446,part2b.k8s.local,dedup,2,12357,25132,5445
2023-03-31 15:21:39.198042,part2b.k8s.local,dedup,4,9844,26880,6968
2023-03-31 15:22:07.689253,part2b.k8s.local,dedup,8,10053,33901,7489
2023-03-31 15:33:54.860133,part2b.k8s.local,ferret,1,321237,429155,1102
2023-03-31 15:36:45.393336,part2b.k8s.local,ferret,2,164024,445867,1086
2023-03-31 15:38:26.485394,part2b.k8s.local,ferret,4,94242,533299,1106
2023-03-31 15:39:54.428034,part2b.k8s.local,ferret,8,81086,639176,1339
2023-04-03 19:18:42.676325,part2b.k8s.local,freqmine,1,487098,486143,852
2023-04-03 19:22:55.599849,part2b.k8s.local,freqmine,2,246557,490360,955
2023-04-03 19:25:07.380193,part2b.k8s.local,freqmine,4,125427,495598,1000
2023-04-03 19:26:54.831888,part2b.k8s.local,freqmine,8,101010,786612,1346
2023-03-31 16:45:44.167977,part2b.k8s.local,radix,1,55149,51675,3463
2023-03-31 16:47:57.633568,part2b.k8s.local,radix,2,27357,51843,2524
2023-03-31 16:48:17.788705,part2b.k8s.local,radix,4,13902,51965,2606
2023-03-31 16:48:33.001249,part2b.k8s.local,radix,8,9171,65943,3349
2023-03-31 16:51:07.723066,part2b.k8s.local,vips,1,99902,102010,2531
2023-03-31 16:52:09.286553,part2b.k8s.local,vips,2,51979,103226,4760
2023-03-31 16:53:01.834003,part2b.k8s.local,vips,4,25674,102503,3239
2023-03-31 16:53:50.256679,part2b.k8s.local,vips,8,22045,170403,4355
2023-04-03 15:20:07.070927,part2b.k8s.local,blackscholes,1,127313,126110,1177
2023-04-03 15:21:29.768079,part2b.k8s.local,blackscholes,2,74010,126643,1104
2023-04-03 15:22:24.493038,part2b.k8s.local,blackscholes,4,46806,126469,808
2023-04-03 15:23:09.712035,part2b.k8s.local,blackscholes,8,36339,148000,955
2023-04-03 15:29:03.869526,part2b.k8s.local,canneal,1,344575,343462,1043
2023-04-03 15:32:44.415974,part2b.k8s.local,canneal,2,214545,356573,1241
2023-04-03 15:35:13.534738,part2b.k8s.local,canneal,4,143315,349570,1421
2023-04-03 15:37:14.426081,part2b.k8s.local,canneal,8,114705,381972,1700
2023-04-03 15:38:14.476108,part2b.k8s.local,dedup,1,20341,24747,5455
2023-04-03 15:38:44.591664,part2b.k8s.local,dedup,2,12557,25510,5292
2023-04-03 15:39:14.225640,part2b.k8s.local,dedup,4,11753,28574,10035
2023-04-03 15:39:45.486336,part2b.k8s.local,dedup,8,13178,36346,14412
2023-04-03 15:45:20.900888,part2b.k8s.local,ferret,1,321977,430648,1083
2023-04-03 15:48:12.196877,part2b.k8s.local,ferret,2,164737,453306,1010
2023-04-03 15:49:54.267210,part2b.k8s.local,ferret,4,95500,548444,1197
2023-04-03 15:51:22.209125,part2b.k8s.local,ferret,8,81057,633608,1741
2023-04-03 15:59:46.420589,part2b.k8s.local,freqmine,1,491409,489882,1420
2023-04-03 16:04:03.176958,part2b.k8s.local,freqmine,2,249992,497007,1141
2023-04-03 16:06:16.367552,part2b.k8s.local,freqmine,4,126524,499780,1099
2023-04-03 16:08:04.417674,part2b.k8s.local,freqmine,8,101516,791402,1634
2023-04-03 16:09:06.831804,part2b.k8s.local,radix,1,55638,51543,4083
2023-04-03 16:09:40.156599,part2b.k8s.local,radix,2,27364,51728,2642
2023-04-03 16:10:00.418082,part2b.k8s.local,radix,4,13793,51745,2440
2023-04-03 16:10:15.497981,part2b.k8s.local,radix,8,9058,66099,3113
2023-04-03 16:12:46.563450,part2b.k8s.local,vips,1,99069,101388,2282
2023-04-03 16:13:44.986169,part2b.k8s.local,vips,2,49506,100670,2272
2023-04-03 16:14:37.406819,part2b.k8s.local,vips,4,26220,103492,4409
2023-04-03 16:15:25.466741,part2b.k8s.local,vips,8,22286,171252,5067
2023-04-03 16:30:23.365408,part2b.k8s.local,blackscholes,1,125894,124063,1799
2023-04-03 16:31:44.997975,part2b.k8s.local,blackscholes,2,73562,125026,1444
2023-04-03 16:32:39.326525,part2b.k8s.local,blackscholes,4,46410,124968,852
2023-04-03 16:33:24.826718,part2b.k8s.local,blackscholes,8,36837,151894,863
2023-04-03 16:38:28.787335,part2b.k8s.local,canneal,1,297884,296790,1008
2023-04-03 16:41:38.085130,part2b.k8s.local,canneal,2,183432,304054,1089
2023-04-03 16:43:50.060961,part2b.k8s.local,canneal,4,125924,306153,1450
2023-04-03 16:45:36.862344,part2b.k8s.local,canneal,8,100161,333700,1628
2023-04-03 16:46:15.196765,part2b.k8s.local,dedup,1,20048,24611,5438
2023-04-03 16:46:45.385920,part2b.k8s.local,dedup,2,12374,25475,5309
2023-04-03 16:47:15.463236,part2b.k8s.local,dedup,4,11823,28302,9920
2023-04-03 16:47:55.459368,part2b.k8s.local,dedup,8,24919,43606,37240
2023-04-03 17:39:55.042895,part2b.k8s.local,ferret,1,320708,440619,1374
2023-04-03 17:42:46.635559,part2b.k8s.local,ferret,2,164406,451773,1186
2023-04-03 17:44:28.886590,part2b.k8s.local,ferret,4,95247,543738,1195
2023-04-03 17:45:57.798146,part2b.k8s.local,ferret,8,82491,648782,1502
2023-04-03 17:54:16.776879,part2b.k8s.local,freqmine,1,492899,491362,1400
2023-04-03 17:58:33.551016,part2b.k8s.local,freqmine,2,250064,496996,1220
2023-04-03 18:00:46.782131,part2b.k8s.local,freqmine,4,126458,499132,1292
2023-04-03 18:02:35.366704,part2b.k8s.local,freqmine,8,102452,796102,1690
