timestamp,cpu_usage
1684948725590,100.0
1684948730595,2.8
1684948735599,9.8
1684948740603,23.1
1684948745608,31.0
1684948750613,45.0
1684948755618,52.6
1684948760624,45.3
1684948765628,45.7
1684948770633,59.0
1684948775638,55.4
1684948780640,49.2
1684948785645,49.2
1684948790651,67.1
1684948795656,55.1
1684948800662,51.8
1684948805663,53.8
1684948810669,78.2
1684948815672,56.3
1684948820676,57.3
1684948825681,65.2
1684948830684,84.8
1684948835689,62.2
1684948840694,62.9
1684948845699,79.5
1684948850704,85.2
1684948855708,64.8
1684948860712,64.6
1684948865717,86.2
1684948870718,78.5
1684948875724,64.8
1684948880728,64.7
1684948885733,93.0
1684948890736,71.9
1684948895740,64.9
1684948900745,64.5
