#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      367.9   370.9   173.5   249.2   270.6   338.3   365.4   381.3   394.3   409.3   432.6   483.7   642.0  7016.3 12563.6   4945.2     5000  1684927480061  1684927485420
read      384.4   440.7   160.7   231.7   254.4   362.7   400.8   421.7   435.3   455.4   479.9   525.6   664.2  5820.3 17533.6  10058.8    10000  1684927486924  1684927492277
read      377.6   347.9   160.7   223.4   242.0   365.3   412.9   435.7   453.0   470.6   497.5   539.6   663.0  2665.4  9434.4  14840.8    15000  1684927493780  1684927499081
read      400.0   229.7   160.7   224.3   243.3   379.0   451.4   486.8   509.3   534.9   565.2   608.6   699.7  1892.0  8423.1  19895.4    20000  1684927500584  1684927505873
read      399.3   275.7   160.7   221.4   238.2   371.2   443.6   483.9   510.2   539.7   574.7   623.5   729.0  2845.5 11742.2  24979.2    25000  1684927507377  1684927512690
read      382.3   203.7   160.7   218.9   234.4   360.5   422.9   457.9   481.7   508.0   542.9   599.5   729.6  1594.8  7535.2  30026.2    30000  1684927514192  1684927519487
read      390.9   237.2   160.7   221.0   237.3   365.2   430.3   469.8   498.3   530.0   568.2   623.1   741.7  1749.4 11463.9  35118.0    35000  1684927520991  1684927526270
read      393.0   225.1   160.7   221.3   237.3   365.4   434.1   476.8   507.8   543.1   583.1   635.7   740.9  1150.6  9304.1  40154.4    40000  1684927527773  1684927533069
read      381.7   180.9   160.7   219.7   234.7   358.6   421.3   458.8   486.5   519.3   559.7   615.9   724.3  1025.4  7725.6  44975.6    45000  1684927534573  1684927539865
read      377.1   241.0   160.7   219.7   234.8   352.1   411.3   447.2   472.6   502.8   540.1   595.7   732.8  1549.3 10090.3  49857.0    50000  1684927541368  1684927546653
read      369.3   195.2   160.7   217.6   231.4   342.1   402.1   438.6   466.3   499.9   541.6   603.7   726.0  1100.1  7273.0  54829.8    55000  1684927548156  1684927553432
read      355.7   215.2   160.7   213.1   226.7   326.5   385.0   420.0   446.4   477.0   514.8   571.9   696.6  1540.5  9751.7  59960.0    60000  1684927554935  1684927560218
read      356.4   208.6   160.7   213.7   227.3   324.8   382.9   418.8   447.2   482.4   527.7   589.3   708.0  1190.0  9446.5  64936.6    65000  1684927561722  1684927567017
read      347.9   165.4   160.7   212.9   226.2   315.7   370.2   404.3   433.5   470.9   520.7   583.9   684.1   984.7  6977.1  70021.2    70000  1684927568521  1684927573805
read      345.6   186.4   160.7   211.6   224.9   314.3   367.5   400.6   428.1   462.7   508.2   575.2   687.6  1286.2  7695.7  75009.2    75000  1684927575308  1684927580590
read      337.7   168.8   160.7   210.0   223.1   309.9   361.6   392.3   416.1   446.7   487.4   546.9   672.9  1056.1  7669.1  80237.4    80000  1684927582094  1684927587364
read      330.9   140.2   160.7   208.1   221.4   306.8   356.2   385.3   406.4   433.9   470.0   526.4   644.6  1002.2  4940.5  84992.6    85000  1684927588867  1684927594157
read      333.7   167.1   160.7   209.9   223.0   305.6   354.0   384.0   406.7   437.0   479.8   542.7   660.2  1309.9  7615.9  90300.2    90000  1684927595660  1684927600939
read      325.5   145.9   148.8   207.0   220.2   301.3   348.1   376.4   398.2   425.5   461.1   513.7   638.7   979.3  4729.9  94876.2    95000  1684927602442  1684927607722
read      327.9   170.0   160.7   208.3   221.5   304.9   351.9   379.1   399.7   425.9   459.9   510.2   631.1   990.7  7713.9  99983.2   100000  1684927609226  1684927614515
read      332.1   185.0   160.7   211.8   225.2   310.8   356.3   382.9   402.3   428.3   462.4   515.3   633.1   900.1  6869.3 104841.0   105000  1684927616018  1684927621306
read      335.3   158.0   160.7   214.0   227.6   315.9   361.1   386.8   405.0   429.8   461.7   511.2   632.1   965.1  7252.0 110109.4   110000  1684927622808  1684927628106
read      326.6   172.3   160.7   211.3   224.8   307.6   349.5   373.8   393.0   416.0   447.3   496.8   605.8   893.0  7653.7 114935.0   115000  1684927629609  1684927634889
read      338.8   137.7   160.7   215.2   228.9   318.3   363.3   389.7   409.2   434.1   468.0   525.8   675.3   987.3  4560.8 120283.1   120000  1684927636392  1684927641675
read      354.2   157.1   160.7   219.5   235.1   334.8   381.4   408.3   429.7   456.0   491.1   548.6   690.7  1028.1  6960.9 124862.8   125000  1684927643179  1684927648475
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 74.48%,10.05%,100.00%
