time_stamp,cpu_usage
1684927468,88.4
1684927473,96.4
1684927478,32.2
1684927483,61.7
1684927488,26.1
1684927493,8.8
1684927498,52.1
1684927503,36.9
1684927508,24.7
1684927513,4.9
1684927518,71.0
1684927523,10.5
1684927528,41.5
1684927533,90.1
1684927538,51.9
1684927543,5.4
1684927548,95.8
1684927553,18.6
1684927558,12.3
1684927563,87.6
1684927568,76.2
1684927573,83.1
1684927578,42.9
1684927583,95.5
1684927588,87.1
1684927593,66.7
1684927598,66.6
1684927603,62.2
1684927608,54.4
1684927613,95.4
1684927618,4.1
1684927623,65.2
1684927628,99.0
1684927633,56.5
1684927638,9.2
1684927643,82.2
1684927648,56.8
1684927653,90.4
