#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      878.6  1193.2   160.7   222.7   235.2   322.1  1033.8  1066.6  1087.0  1149.9  1845.4  3828.0  4771.4 12654.2 22743.2  29656.8    30000  1684435330859  1684435340991
read      583.6   972.3   148.8   202.8   212.6   273.6   316.4   362.5   465.1  1037.6  1079.9  2467.4  4064.6 10336.5 19937.8  29947.2    30005  1684435342497  1684435352630
read      272.1   225.0   160.7   196.0   205.1   252.4   279.0   295.7   309.0   323.7   344.0   373.4   436.2  2315.4  9688.5  29945.7    30010  1684435354139  1684435364246
read      270.9   198.6   148.8   193.6   203.2   250.7   278.6   296.4   310.7   326.9   347.6   379.0   435.2  2532.9  8688.8  30026.0    30015  1684435365753  1684435375855
read      269.6   216.5   148.8   193.8   203.3   249.1   275.4   293.4   307.1   322.5   343.7   373.9   433.1  2601.5  9292.6  29999.8    30020  1684435377364  1684435387480
read      269.2   192.7   148.8   194.2   203.7   250.2   277.0   294.6   308.5   324.1   344.9   374.8   432.7  1647.6  8668.2  30125.2    30025  1684435388986  1684435399098
read      273.8   229.9   148.8   195.5   204.9   252.5   279.7   296.6   310.8   327.0   348.2   380.0   436.6  2934.9  9651.3  29960.8    30030  1684435400605  1684435410710
read      273.7   225.1   160.7   194.7   204.1   251.7   280.7   298.9   313.4   330.5   352.5   384.4   446.0  2367.0  9249.8  30039.6    30035  1684435412219  1684435422331
read      267.4   197.3   160.7   193.7   202.8   247.7   273.9   291.6   305.1   320.6   342.6   373.0   432.3  2185.0  9114.4  30008.1    30040  1684435423836  1684435433943
read      272.3   226.7   148.8   193.7   203.1   250.0   278.2   296.5   311.0   327.6   348.5   381.0   439.6  3146.9 10550.8  30005.6    30045  1684435435451  1684435445567
read      267.0   208.0   148.8   192.5   201.4   246.4   272.6   290.2   303.5   319.3   341.0   372.0   433.1  2392.8  8746.8  30002.4    30050  1684435447074  1684435457175
read      268.3   205.5   160.7   193.8   203.2   248.2   274.3   291.9   305.2   320.5   342.4   372.7   431.3  2131.1  8789.2  30079.1    30055  1684435458684  1684435468796
read      271.5   235.1   148.8   193.7   203.1   250.2   278.5   296.8   311.3   327.8   348.5   380.0   437.7  2229.5 12279.0  29993.8    30060  1684435470305  1684435480407
read      271.2   203.5   148.8   195.8   204.9   251.0   278.6   296.3   310.4   326.5   347.2   379.1   436.6  1976.7  8788.2  30076.6    30065  1684435481914  1684435492027
read      269.7   211.0   148.8   194.3   203.4   249.1   276.3   294.6   308.5   324.2   345.1   374.7   433.0  2259.9  9352.6  30200.4    30070  1684435493533  1684435503637
read      275.1   197.9   148.8   195.5   204.9   254.5   285.7   304.6   318.1   335.4   356.7   387.5   446.3  1870.9  8786.3  30096.8    30075  1684435505144  1684435515251
read      272.5   231.3   160.7   193.9   203.4   250.3   278.1   296.1   310.5   326.8   347.5   379.7   441.7  3077.0 10213.7  30155.3    30080  1684435516760  1684435526863
read      274.6   236.6   148.8   195.1   204.5   252.8   281.5   299.0   313.1   329.8   351.2   383.2   445.2  2780.8 10244.0  30047.4    30085  1684435528372  1684435538478
read      269.7   180.1   148.8   193.8   203.3   249.3   276.7   295.0   309.3   325.7   347.6   380.9   436.8  2092.8  8361.2  30109.3    30090  1684435539983  1684435550090
read      272.5   224.5   160.7   193.9   203.3   250.4   278.5   296.7   311.0   327.5   348.8   381.0   436.8  3026.0  8986.3  30163.6    30095  1684435551596  1684435561703
read      275.2   227.4   148.8   197.5   206.4   254.7   283.0   299.9   313.5   329.8   350.9   383.5   444.5  2204.6 12063.6  30125.9    30100  1684435563213  1684435573323
read      269.8   229.8   148.8   193.5   203.1   249.2   274.9   292.2   305.2   320.3   342.2   373.0   433.7  2833.5 10247.0  30103.0    30105  1684435574831  1684435584941
read      272.4   212.1   148.8   193.8   203.4   251.3   279.8   297.9   312.5   329.2   350.5   382.1   442.7  2501.3  9046.6  30083.6    30110  1684435586449  1684435596560
read      270.4   217.3   160.7   195.0   204.1   249.8   277.5   295.6   309.7   325.7   346.2   376.2   432.6  2060.8  8788.2  30116.7    30115  1684435598066  1684435608178
