#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      272.0   291.4   148.8   189.5   196.9   242.0   268.9   286.5   299.6   317.0   340.6   373.8   471.6  4640.1  9987.8  29841.2    30000  1684439294380  1684439304523
read      276.1   309.9   160.7   190.8   198.6   244.3   271.8   290.6   305.0   321.6   344.9   378.2   464.1  5226.2 10158.9  29982.2    30005  1684439306034  1684439316159
read      279.4   324.9   160.7   192.0   200.4   248.5   277.8   296.7   311.6   328.7   350.2   383.5   462.6  5250.0 14857.1  30049.2    30010  1684439317665  1684439327773
read      271.5   249.5   148.8   192.0   200.7   245.0   271.1   288.8   302.3   319.2   342.0   373.5   443.4  4079.5  9283.1  29991.7    30015  1684439329282  1684439339388
read      288.0   326.1   160.7   193.1   202.2   248.2   276.7   295.9   311.0   328.7   352.6   390.1   869.6  4389.2 10165.5  30036.8    30020  1684439340897  1684439351002
read      285.2   301.4   160.7   193.6   203.0   251.0   279.5   297.6   312.6   329.9   352.0   386.4   588.2  4816.0  9807.3  30149.0    30025  1684439352509  1684439362618
read      283.3   298.3   160.7   194.3   203.8   252.5   281.9   300.0   314.3   331.6   354.1   387.8   475.5  4728.5 11283.2  30051.9    30030  1684439364124  1684439374237
read      279.5   298.1   148.8   193.3   202.8   250.7   278.7   296.5   310.9   327.5   349.3   382.8   467.6  4450.7  9492.7  30016.8    30035  1684439375743  1684439385848
read      275.9   261.0   160.7   192.6   201.4   248.0   275.5   294.3   308.7   325.2   346.8   380.9   460.5  4070.2  9310.9  30038.6    30040  1684439387357  1684439397473
read      280.7   322.2   160.7   193.2   202.7   249.9   278.2   296.5   311.2   328.0   349.8   383.6   468.2  5027.3 12476.3  30024.8    30045  1684439398981  1684439409089
read      280.1   297.8   148.8   192.4   201.4   249.2   278.5   297.4   312.3   329.6   352.0   385.4   469.4  4584.3 12290.4  30073.7    30050  1684439410597  1684439420708
read      279.6   308.9   160.7   193.5   202.6   247.7   274.8   293.6   308.3   325.4   347.5   379.8   468.9  4878.2 10562.6  29980.8    30055  1684439422214  1684439432329
read      279.2   292.0   148.8   192.0   200.9   249.3   277.9   296.6   311.2   328.0   349.3   382.5   471.5  4896.1 10251.8  30014.0    30060  1684439433840  1684439443948
read     1560.6  1500.7   160.7   243.0   280.3  1057.2  1097.8  1651.0  2986.9  3821.6  3926.2  4030.7  5302.0 15185.2 20338.8  16582.4    30065  1684439445465  1684439455583
read      700.6   978.0   148.8   203.4   215.4   289.2   440.9  1028.2  1058.6  1089.0  1242.3  2517.6  4458.9  8409.0 19499.8  30057.2    30070  1684439457093  1684439467201
