#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      292.6   341.7   160.7   194.4   204.3   259.0   290.8   310.9   325.9   344.4   368.8   404.5   557.4  5587.6 15128.1  30006.0    30000  1684617506019  1684617516144
read      286.0   305.1   160.7   192.9   202.7   254.1   285.1   304.4   319.0   338.0   362.4   398.2   538.5  4879.7 11195.3  29897.4    30005  1684617517652  1684617527769
read      288.3   322.4   160.7   194.3   204.2   256.3   287.3   306.2   320.0   338.6   362.1   396.9   497.3  5467.3 12116.3  30028.2    30010  1684617529275  1684617539384
read      278.2   282.4   160.7   192.8   201.7   248.3   276.2   295.2   310.7   329.0   352.9   388.8   482.3  4788.0 10399.9  30104.6    30015  1684617540892  1684617550991
read      291.7   324.3   160.7   195.6   205.2   259.0   289.9   309.2   323.4   341.9   365.8   400.3   527.8  5366.7 12478.3  30030.0    30020  1684617552500  1684617562607
read      284.9   306.5   148.8   191.7   201.4   255.1   285.8   304.2   317.9   336.2   359.7   394.7   482.5  5153.4 10671.1  29961.2    30025  1684617564117  1684617574225
read      281.4   271.6   160.7   193.0   202.6   251.3   280.6   299.0   314.4   333.0   357.2   393.3   497.6  4531.2  9616.2  30030.4    30030  1684617575738  1684617585841
read      289.1   324.0   148.8   192.8   203.0   257.5   288.8   308.1   321.8   340.5   364.6   400.0   508.0  5045.2 12413.6  30023.3    30035  1684617587348  1684617597459
read      286.0   274.6   160.7   194.8   204.6   256.9   287.9   307.5   321.9   341.4   366.7   403.4   538.5  4262.3 12105.6  30009.6    30040  1684617598969  1684617609072
read      282.2   314.3   160.7   193.6   202.9   250.2   279.0   297.3   313.0   331.3   354.8   390.8   504.2  5215.6 10814.8  30096.5    30045  1684617610582  1684617620682
read      280.0   297.7   148.8   191.9   200.6   249.0   278.5   297.9   313.6   332.4   356.9   392.9   489.3  4763.6 12054.1  30213.1    30050  1684617622190  1684617632301
read      286.2   302.8   160.7   193.6   203.7   256.5   287.2   306.1   319.7   338.4   362.1   397.0   499.8  4602.9 11956.3  30022.0    30055  1684617633807  1684617643917
read      290.2   320.7   148.8   193.2   202.9   255.0   287.6   307.6   322.2   341.6   366.3   401.6   529.2  5497.3 10093.8  30030.4    30060  1684617645423  1684617655530
read      307.0   338.6   160.7   195.7   205.3   263.1   297.7   320.5   339.5   362.3   391.7   445.6   971.8  5126.4 12083.0  30022.3    30065  1684617657041  1684617667149
read      282.7   269.8   148.8   193.8   204.0   256.0   284.8   302.4   316.2   334.0   357.0   390.8   484.9  4313.4  9982.2  30069.6    30070  1684617668658  1684617678770
