#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      281.9   337.1   160.7   193.3   202.6   248.5   276.1   294.7   309.1   325.7   348.0   381.3   470.0  6051.9 10690.1  30005.9    30000  1684442995109  1684443005242
read      274.3   286.3   160.7   192.3   200.9   245.4   272.5   291.0   305.0   321.1   343.7   375.9   454.8  4365.0 11723.5  30052.4    30005  1684443006747  1684443016870
read      283.9   325.3   160.7   191.8   200.5   250.8   283.0   302.8   316.9   334.4   356.4   389.6   471.3  5041.1 12531.0  30056.4    30010  1684443018379  1684443028492
read      277.7   304.3   160.7   193.6   202.9   248.2   274.7   292.6   306.3   322.0   345.0   379.4   465.2  4835.4 12430.6  30100.3    30015  1684443030001  1684443040107
read      273.0   301.5   160.7   192.1   200.4   244.0   270.5   288.4   302.1   318.6   341.1   372.6   446.7  4844.1 11209.8  30074.7    30020  1684443041616  1684443051727
read      273.7   303.4   148.8   191.5   199.7   244.3   271.2   289.3   303.1   319.7   342.6   374.6   447.9  4318.5 12438.2  29992.7    30025  1684443053233  1684443063342
read      275.0   284.7   160.7   192.8   201.3   247.2   276.9   296.0   310.5   326.9   347.8   380.5   457.1  4205.9 11399.8  30051.2    30030  1684443064851  1684443074958
read      278.8   305.0   148.8   190.5   198.8   248.5   278.4   297.3   312.0   328.9   350.7   384.7   465.6  4969.6 10786.5  30146.6    30035  1684443076464  1684443086578
read      277.2   266.9   160.7   193.6   202.8   249.2   277.1   295.4   309.8   326.2   347.7   380.8   461.8  4172.6  9309.1  30098.0    30040  1684443088089  1684443098203
read      273.2   262.0   148.8   192.3   201.3   247.6   273.7   291.3   304.7   320.1   342.0   373.1   449.6  4237.6 10379.9  30061.3    30045  1684443099709  1684443109819
read      277.0   306.5   148.8   191.2   199.1   246.1   274.8   293.9   308.3   324.4   345.6   377.3   459.5  5275.4 12050.3  30093.7    30050  1684443111324  1684443121430
read      275.8   250.8   148.8   194.1   203.6   250.4   278.0   295.9   309.9   325.8   347.3   380.3   460.2  4155.8  9738.8  30155.4    30055  1684443122939  1684443133044
read      276.6   319.9   160.7   190.9   198.5   245.4   273.6   292.2   306.2   321.8   343.2   374.1   453.3  5637.4 10047.0  30170.3    30060  1684443134552  1684443144661
read      277.8   264.4   148.8   194.1   203.2   249.4   278.4   297.1   311.9   328.9   351.0   385.1   463.9  4233.4  8592.3  30079.9    30065  1684443146170  1684443156288
read      755.5   902.2   160.7   216.5   230.6   338.4  1028.2  1053.8  1069.7  1085.7  1111.4  2314.2  4347.0  7960.8 16685.9  29806.7    30070  1684443157794  1684443167901
read      821.7  1062.4   160.7   227.9   246.4   338.3  1017.7  1051.3  1071.6  1092.0  1237.5  3789.1  4740.0  8532.5 17025.5  29974.3    30075  1684443169417  1684443179535
